,longitude,latitude,median_house_value,population
3503,-118.44,34.27,142400.0,1616.0
4741,-118.35,34.05,234100.0,1533.0
17013,-122.28,37.53,286700.0,2068.0
13143,-121.54,38.29,92500.0,630.0
15144,-116.91,32.82,170100.0,1085.0
9875,-121.83,36.62,161800.0,1037.0
8139,-118.11,33.83,225300.0,664.0
8410,-118.35,33.93,170600.0,2649.0
5379,-118.39,34.03,319400.0,1890.0
3045,-119.27,35.51,95800.0,544.0
12299,-116.87,33.94,73400.0,2736.0
11863,-121.24,40.31,93600.0,632.0
2235,-119.79,36.84,51700.0,1543.0
5468,-118.47,33.99,358700.0,1095.0
2267,-119.82,36.79,64700.0,3415.0
15227,-117.24,33.05,344200.0,2588.0
9300,-122.57,38.02,314000.0,3798.0
5394,-118.38,34.03,185700.0,705.0
1504,-122.03,37.94,279300.0,2214.0
503,-122.28,37.85,119400.0,281.0
17997,-121.96,37.28,280400.0,877.0
1272,-121.7,37.91,187100.0,825.0
2602,-123.52,41.01,83800.0,517.0
6779,-118.15,34.11,309300.0,1314.0
18926,-122.17,38.08,229200.0,8276.0
18514,-122.02,36.99,245000.0,1023.0
8137,-118.13,33.83,227600.0,1474.0
5348,-118.42,34.05,500001.0,1124.0
16614,-121.12,35.58,320800.0,1298.0
13005,-121.28,38.68,147300.0,1478.0
14945,-116.98,32.74,162300.0,1754.0
10475,-117.68,33.6,265900.0,969.0
8639,-118.43,33.87,500001.0,344.0
14515,-117.16,32.89,189100.0,5006.0
15044,-116.91,32.78,316400.0,1580.0
3668,-118.39,34.23,181900.0,3001.0
14020,-117.16,32.74,261500.0,982.0
13506,-117.33,34.12,69000.0,838.0
15898,-122.39,37.72,181300.0,93.0
8599,-118.36,33.87,293000.0,1275.0
13526,-117.3,34.18,111100.0,1304.0
7948,-118.14,33.86,218300.0,538.0
4518,-118.2,34.04,147200.0,2003.0
20311,-119.11,34.17,243800.0,522.0
5963,-117.85,34.11,223000.0,4944.0
6128,-117.97,34.11,137500.0,121.0
18754,-122.36,40.69,60600.0,2060.0
3125,-117.76,35.22,275000.0,8.0
17248,-119.7,34.42,350000.0,291.0
3698,-118.38,34.21,171200.0,1798.0
323,-122.18,37.74,83500.0,380.0
5683,-118.29,33.72,225000.0,801.0
17573,-121.92,37.32,165600.0,1485.0
3489,-118.45,34.28,152000.0,1303.0
15893,-122.39,37.73,192000.0,1025.0
14736,-117.04,32.81,254200.0,1381.0
9039,-118.06,34.71,150000.0,1228.0
11615,-118.06,33.8,212500.0,1015.0
18752,-122.42,40.63,80400.0,1132.0
828,-122.08,37.62,206500.0,1016.0
17180,-122.53,37.5,331100.0,2199.0
3922,-118.56,34.19,201400.0,425.0
13105,-121.36,38.42,188400.0,1168.0
10630,-117.78,33.71,195400.0,428.0
18051,-121.99,37.26,442500.0,1158.0
17452,-120.47,34.7,152700.0,1051.0
4074,-118.43,34.14,500001.0,498.0
8149,-118.09,33.82,239800.0,1042.0
19648,-120.89,37.48,159400.0,647.0
12399,-116.31,33.67,91800.0,2466.0
15930,-122.43,37.73,240900.0,1337.0
5998,-117.74,34.09,136400.0,2192.0
14835,-117.1,32.69,103600.0,3675.0
16459,-121.29,38.12,132500.0,741.0
16975,-122.31,37.56,292900.0,701.0
2766,-116.01,33.41,62800.0,659.0
1807,-122.34,37.93,112100.0,1304.0
2848,-118.96,35.4,89100.0,1271.0
12255,-117.02,33.76,120700.0,453.0
15731,-122.44,37.78,471400.0,1588.0
6717,-118.15,34.13,314700.0,947.0
7733,-118.14,33.93,226400.0,1075.0
14814,-117.17,32.7,409700.0,1804.0
7048,-118.05,33.94,149000.0,527.0
2041,-119.69,36.73,171700.0,1005.0
1393,-122.1,37.96,235500.0,569.0
10508,-117.68,33.52,322800.0,1546.0
18120,-122.0,37.32,244500.0,1915.0
12194,-117.29,33.63,162200.0,7139.0
1530,-122.06,37.88,340900.0,1879.0
2893,-118.99,35.37,57400.0,814.0
3703,-118.37,34.18,198900.0,1345.0
34,-122.27,37.83,109700.0,1258.0
4966,-118.29,34.01,137500.0,1010.0
3113,-117.66,35.62,85700.0,2728.0
20633,-121.53,39.19,98300.0,1082.0
10107,-117.95,33.92,178200.0,1201.0
18506,-122.0,37.0,137500.0,36.0
15911,-122.42,37.75,275000.0,1447.0
10158,-117.96,33.9,381500.0,1070.0
8585,-118.4,33.89,500001.0,807.0
14467,-117.25,32.84,500001.0,659.0
11715,-120.12,39.18,179200.0,390.0
16638,-121.1,35.6,204500.0,1309.0
5687,-118.24,34.24,394100.0,1349.0
11552,-117.99,33.75,184400.0,1314.0
720,-122.1,37.68,174000.0,1109.0
9536,-120.79,37.43,80700.0,1764.0
1398,-122.06,37.96,189600.0,788.0
2467,-119.83,36.54,60000.0,979.0
7580,-118.22,33.89,126600.0,1086.0
11464,-117.99,33.67,262500.0,903.0
218,-122.21,37.79,139200.0,1517.0
2020,-119.8,36.7,51300.0,962.0
20493,-118.65,34.27,229200.0,934.0
2305,-119.77,36.83,101100.0,1378.0
9071,-118.15,34.71,97700.0,842.0
4445,-118.22,34.07,158300.0,1079.0
1535,-122.04,37.89,349100.0,998.0
2300,-119.77,36.81,85500.0,663.0
7949,-118.14,33.87,214100.0,799.0
8164,-118.13,33.81,227100.0,855.0
15134,-116.92,32.82,155700.0,1278.0
2638,-124.14,40.59,66800.0,826.0
6231,-117.93,34.07,207300.0,683.0
16560,-121.37,37.77,222800.0,1290.0
15766,-122.43,37.77,354500.0,1939.0
8908,-118.47,34.03,340500.0,1303.0
20009,-119.06,36.15,52900.0,1527.0
438,-122.3,37.86,140600.0,287.0
6271,-117.95,34.04,150800.0,2296.0
9664,-120.08,41.79,56100.0,434.0
960,-121.91,37.69,259600.0,926.0
8731,-118.32,33.83,318900.0,1160.0
8342,-118.33,33.93,148400.0,925.0
6320,-117.97,33.99,289900.0,2613.0
10156,-117.92,33.89,161800.0,622.0
8552,-118.3,33.74,255000.0,950.0
16381,-121.3,38.02,87500.0,491.0
10115,-117.93,33.94,245000.0,1135.0
8977,-118.42,34.01,305000.0,997.0
6723,-118.15,34.13,215000.0,430.0
14012,-117.17,32.75,249000.0,2357.0
8852,-118.42,34.08,500001.0,770.0
5503,-118.43,33.99,320000.0,1260.0
7046,-118.04,33.95,174000.0,1236.0
17583,-121.93,37.3,292500.0,1285.0
14483,-117.26,32.82,500001.0,1817.0
520,-122.23,37.76,289900.0,1242.0
18312,-122.13,37.43,438400.0,1498.0
4398,-118.28,34.08,182000.0,1454.0
5050,-118.33,34.02,170500.0,625.0
2265,-119.82,36.78,69200.0,761.0
14854,-117.07,32.67,95600.0,1723.0
10657,-117.83,33.66,272800.0,747.0
19057,-121.84,38.13,81300.0,212.0
16113,-122.5,37.75,272400.0,1429.0
16709,-120.48,35.05,152600.0,1549.0
16274,-121.25,37.94,55900.0,782.0
10315,-117.82,33.85,213500.0,1189.0
12811,-121.52,38.65,331300.0,494.0
11243,-118.0,33.81,201800.0,1869.0
2084,-119.81,36.76,57100.0,1049.0
5888,-118.33,34.15,331800.0,471.0
6405,-118.01,34.13,365900.0,648.0
16557,-121.27,37.82,127500.0,830.0
